Z(bin_number),GT(m2/s2))
1.000000 ,     0.000889 
2.000000 ,     0.000524 
3.000000 ,     0.000578 
4.000000 ,     0.000505 
5.000000 ,     0.000444 
6.000000 ,     0.001147 
7.000000 ,     0.000329 
8.000000 ,     0.000432 
9.000000 ,     0.000767 
10.000000 ,     0.000349 
11.000000 ,     0.000669 
12.000000 ,     0.000625 
13.000000 ,     0.000694 
14.000000 ,     0.000448 
15.000000 ,     0.000479 
16.000000 ,     0.000580 
17.000000 ,     0.000300 
18.000000 ,     0.000699 
19.000000 ,     0.000435 
20.000000 ,     0.000485 
21.000000 ,     0.000760 
22.000000 ,     0.000680 
23.000000 ,     0.000771 
24.000000 ,     0.000387 
25.000000 ,     0.000849 
26.000000 ,     0.000292 
27.000000 ,     0.000301 
28.000000 ,     0.000962 
