Time(s),RSD(%)
4.000000 ,    94.509995 
5.000000 ,    93.552940 
6.000000 ,    92.384038 
7.000000 ,    90.515586 
8.000000 ,    90.205890 
9.000000 ,    89.083610 
10.000000 ,    88.570786 
11.000000 ,    87.708472 
12.000000 ,    87.382886 
13.000000 ,    87.190801 
14.000000 ,    85.975374 
15.000000 ,    85.710375 
16.000000 ,    85.114238 
17.000000 ,    84.493300 
18.000000 ,    84.117193 
19.000000 ,    83.379379 
20.000000 ,    83.407181 
21.000000 ,    82.884686 
22.000000 ,    82.275078 
23.000000 ,    81.689870 
24.000000 ,    80.930640 
