Time(s),RSD(%)
4.000000 ,    99.527879 
5.000000 ,    94.704343 
6.000000 ,    90.564240 
7.000000 ,    85.411682 
8.000000 ,    82.168522 
9.000000 ,    78.450652 
10.000000 ,    74.844528 
11.000000 ,    72.245150 
12.000000 ,    69.185692 
13.000000 ,    66.014983 
14.000000 ,    63.314309 
15.000000 ,    60.668477 
16.000000 ,    58.142385 
17.000000 ,    55.972972 
18.000000 ,    53.538844 
19.000000 ,    51.369764 
20.000000 ,    49.800415 
21.000000 ,    47.921099 
22.000000 ,    46.074704 
23.000000 ,    44.529803 
24.000000 ,    43.264454 
