Time(s),RSD(%)
4.000000 ,    94.541432 
5.000000 ,    91.269554 
6.000000 ,    87.987855 
7.000000 ,    79.873554 
8.000000 ,    73.274804 
9.000000 ,    68.185039 
10.000000 ,    63.592154 
11.000000 ,    58.686887 
12.000000 ,    53.232741 
13.000000 ,    49.365697 
14.000000 ,    45.675484 
15.000000 ,    43.066591 
16.000000 ,    39.491793 
17.000000 ,    37.039200 
18.000000 ,    36.215157 
19.000000 ,    33.566463 
20.000000 ,    32.466514 
21.000000 ,    31.505573 
22.000000 ,    29.646143 
23.000000 ,    28.306942 
24.000000 ,    27.811168 
